순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액
1,2011,국회공직자윤리위원회,박희태,국회,국회의장,토지,"3,174,215 ","108,477 ","28,934 ","3,253,758 "
2,2011,국회공직자윤리위원회,박희태,국회,국회의장,건물,"6,155,543 ","186,613 ","5,317 ","6,336,839 "
3,2011,국회공직자윤리위원회,박희태,국회,국회의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"96,100 ",0 ,"78,270 ","17,830 "
4,2011,국회공직자윤리위원회,박희태,국회,국회의장,예금,"27,431 ","3,053 ","9,640 ","20,844 "
5,2011,국회공직자윤리위원회,박희태,국회,국회의장,유가증권,"50,876 ",0 ,"50,876 ",0 
6,2011,국회공직자윤리위원회,박희태,국회,국회의장,채무,"-500,000 ",0 ,0 ,"-500,000 "
7,2011,국회공직자윤리위원회,박희태,국회,국회의장,회원권,"477,700 ","105,000 ",0 ,"582,700 "
8,2011,국회공직자윤리위원회,박희태,국회,국회의장,총계,"9,481,865 ","403,143 ","173,037 ","9,711,971 "
9,2011,국회공직자윤리위원회,정의화,국회,국회부의장,토지,"3,352,719 ","54,805 ","92,747 ","3,314,777 "
10,2011,국회공직자윤리위원회,정의화,국회,국회부의장,건물,"14,334,325 ","1,032,077 ","799,962 ","14,566,440 "
11,2011,국회공직자윤리위원회,정의화,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"125,980 ",0 ,"81,110 ","44,870 "
12,2011,국회공직자윤리위원회,정의화,국회,국회부의장,예금,"6,643,203 ","4,000,290 ","2,517,709 ","8,125,784 "
13,2011,국회공직자윤리위원회,정의화,국회,국회부의장,유가증권,"560,256 ","9,916 ","125,172 ","445,000 "
14,2011,국회공직자윤리위원회,정의화,국회,국회부의장,채무,"-13,123,926 ","-5,115,674 ","-6,723,801 ","-11,515,799 "
15,2011,국회공직자윤리위원회,정의화,국회,국회부의장,금 및 백금,"15,000 ","2,800 ",0 ,"17,800 "
16,2011,국회공직자윤리위원회,정의화,국회,국회부의장,보석류,"19,700 ",0 ,0 ,"19,700 "
17,2011,국회공직자윤리위원회,정의화,국회,국회부의장,비영리법인에의한 출연재산,,,,
18,2011,국회공직자윤리위원회,정의화,국회,국회부의장,회원권,"233,152 ","62,463 ","2,700 ","292,915 "
19,2011,국회공직자윤리위원회,정의화,국회,국회부의장,총계,"12,160,409 ","46,677 ","-3,104,401 ","15,311,487 "
20,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,건물,"1,392,820 ","32,000 ",0 ,"1,424,820 "
21,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"21,830 ",0 ,"4,640 ","17,190 "
22,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,현금,"2,200 ","11,800 ",0 ,"14,000 "
23,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,예금,"442,620 ","58,367 ","126,805 ","374,182 "
24,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,회원권,"27,000 ",0 ,0 ,"27,000 "
25,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,고지거부 및 등록제외사항,"630,371 ",0 ,"630,371 ",0 
26,2011,국회공직자윤리위원회,홍재형,국회,국회부의장,총계,"2,516,841 ","102,167 ","761,816 ","1,857,192 "
27,2011,국회공직자윤리위원회,강기갑,국회,국회의원,토지,"324,172 ","5,689 ","30,463 ","299,398 "
28,2011,국회공직자윤리위원회,강기갑,국회,국회의원,건물,"113,813 ","27,496 ",8 ,"141,301 "
29,2011,국회공직자윤리위원회,강기갑,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"9,859 ",0 ,0 ,"9,859 "
30,2011,국회공직자윤리위원회,강기갑,국회,국회의원,예금,"52,912 ","50,019 ","9,729 ","93,202 "
31,2011,국회공직자윤리위원회,강기갑,국회,국회의원,채무,"-337,928 ","-127,780 ","-139,914 ","-325,794 "
32,2011,국회공직자윤리위원회,강기갑,국회,국회의원,총계,"162,828 ","-44,576 ","-99,714 ","217,966 "
33,2011,국회공직자윤리위원회,강기정,국회,국회의원,건물,"123,000 ","1,000 ",0 ,"124,000 "
34,2011,국회공직자윤리위원회,강기정,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"16,288 ",0 ,980 ,"15,308 "
35,2011,국회공직자윤리위원회,강기정,국회,국회의원,예금,"564,385 ","239,645 ","112,488 ","691,542 "
36,2011,국회공직자윤리위원회,강기정,국회,국회의원,유가증권,"1,000 ",0 ,0 ,"1,000 "
37,2011,국회공직자윤리위원회,강기정,국회,국회의원,채권,"48,000 ",0 ,0 ,"48,000 "
38,2011,국회공직자윤리위원회,강기정,국회,국회의원,채무,"-115,185 ",0 ,"-10,313 ","-104,872 "
39,2011,국회공직자윤리위원회,강기정,국회,국회의원,총계,"637,488 ","240,645 ","103,155 ","774,978 "
40,2011,국회공직자윤리위원회,강길부,국회,국회의원,토지,"1,075,341 ","32,664 ",0 ,"1,108,005 "
41,2011,국회공직자윤리위원회,강길부,국회,국회의원,건물,"1,921,602 ",928 ,"2,000 ","1,920,530 "
42,2011,국회공직자윤리위원회,강길부,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"17,870 ",0 ,"1,690 ","16,180 "
43,2011,국회공직자윤리위원회,강길부,국회,국회의원,예금,"188,157 ","30,130 ","4,040 ","214,247 "
44,2011,국회공직자윤리위원회,강길부,국회,국회의원,유가증권,"305,970 ","21,120 ",0 ,"327,090 "
45,2011,국회공직자윤리위원회,강길부,국회,국회의원,채권,"270,000 ",0 ,0 ,"270,000 "
46,2011,국회공직자윤리위원회,강길부,국회,국회의원,채무,"-683,450 ","-39,600 ","-19,450 ","-703,600 "
47,2011,국회공직자윤리위원회,강길부,국회,국회의원,회원권,"1,500 ",0 ,0 ,"1,500 "
48,2011,국회공직자윤리위원회,강길부,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
49,2011,국회공직자윤리위원회,강길부,국회,국회의원,총계,"3,096,990 ","45,242 ","-11,720 ","3,153,952 "
50,2011,국회공직자윤리위원회,강명순,국회,국회의원,건물,"236,000 ","4,000 ",0 ,"240,000 "
51,2011,국회공직자윤리위원회,강명순,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"18,200 ","20,000 ","4,700 ","33,500 "
52,2011,국회공직자윤리위원회,강명순,국회,국회의원,예금,"43,917 ","11,767 ","4,310 ","51,374 "
53,2011,국회공직자윤리위원회,강명순,국회,국회의원,채무,"-101,669 ",0 ,"-14,951 ","-86,718 "
54,2011,국회공직자윤리위원회,강명순,국회,국회의원,총계,"196,448 ","35,767 ","-5,941 ","238,156 "
55,2011,국회공직자윤리위원회,강봉균,국회,국회의원,토지,"208,593 ","8,605 ",85 ,"217,113 "
56,2011,국회공직자윤리위원회,강봉균,국회,국회의원,건물,"1,555,433 ","360,667 ","80,000 ","1,836,100 "
57,2011,국회공직자윤리위원회,강봉균,국회,국회의원,예금,"406,755 ","18,147 ","36,783 ","388,119 "
58,2011,국회공직자윤리위원회,강봉균,국회,국회의원,채권,"230,000 ",0 ,0 ,"230,000 "
59,2011,국회공직자윤리위원회,강봉균,국회,국회의원,채무,"-330,000 ",0 ,0 ,"-330,000 "
60,2011,국회공직자윤리위원회,강봉균,국회,국회의원,회원권,"28,000 ",0 ,0 ,"28,000 "
61,2011,국회공직자윤리위원회,강봉균,국회,국회의원,총계,"2,098,781 ","387,419 ","116,868 ","2,369,332 "
62,2011,국회공직자윤리위원회,강석호,국회,국회의원,토지,"1,995,472 ","27,267 ","77,773 ","1,944,966 "
63,2011,국회공직자윤리위원회,강석호,국회,국회의원,건물,"2,510,131 ","27,325 ","679,859 ","1,857,597 "
64,2011,국회공직자윤리위원회,강석호,국회,국회의원,예금,"3,695,766 ","2,669,613 ","1,820,039 ","4,545,340 "
65,2011,국회공직자윤리위원회,강석호,국회,국회의원,유가증권,"7,484,102 ","476,231 ","359,041 ","7,601,292 "
66,2011,국회공직자윤리위원회,강석호,국회,국회의원,채무,"-120,000 ",0 ,0 ,"-120,000 "
67,2011,국회공직자윤리위원회,강석호,국회,국회의원,회원권,"5,950 ",0 ,0 ,"5,950 "
