순번,연도,관할기관,이름,소속,직위,본인과의 관계,종전가액,증가액,감소액,현재가액
1,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,토지,"3,314,777 ","64,168 ",0 ,"3,378,945 "
2,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,건물,"14,566,440 ","278,787 ","312,000 ","14,533,227 "
3,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"44,870 ","5,600 ","4,730 ","45,740 "
4,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,예금,"8,125,784 ","3,198,216 ","2,766,719 ","8,557,281 "
5,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,유가증권,"445,000 ",0 ,0 ,"445,000 "
6,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,채무,"-11,515,799 ","-2,460,260 ","-725,397 ","-13,250,662 "
7,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,금 및 백금,"17,800 ","5,200 ",0 ,"23,000 "
8,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,보석류,"19,700 ",0 ,0 ,"19,700 "
9,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,회원권,"292,915 ","32,205 ","5,648 ","319,472 "
10,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,비영리법인에의한 출연재산,0,0,0,0
11,2012,국회공직자윤리위원회,정의화,국회,국회의장 직무대리,총계,"15,311,487 ","1,123,916 ","2,363,700 ","14,071,703 "
12,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,건물,"1,424,820 ",0 ,"64,000 ","1,360,820 "
13,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"17,190 ",0 ,"2,390 ","14,800 "
14,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,현금,"14,000 ",0 ,0 ,"14,000 "
15,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,예금,"374,182 ","49,682 ","205,281 ","218,583 "
16,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,회원권,"27,000 ","3,000 ",0 ,"30,000 "
17,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
18,2012,국회공직자윤리위원회,홍재형,국회,국회부의장,총계,"1,857,192 ","52,682 ","271,671 ","1,638,203 "
19,2012,국회공직자윤리위원회,강기갑,국회,국회의원,토지,"299,398 ","5,609 ","31,545 ","273,462 "
20,2012,국회공직자윤리위원회,강기갑,국회,국회의원,건물,"141,301 ","2,444 ",10 ,"143,735 "
21,2012,국회공직자윤리위원회,강기갑,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"9,859 ",0 ,459 ,"9,400 "
22,2012,국회공직자윤리위원회,강기갑,국회,국회의원,예금,"93,202 ","14,578 ","53,051 ","54,729 "
23,2012,국회공직자윤리위원회,강기갑,국회,국회의원,채무,"-325,794 ","-30,492 ","-37,980 ","-318,306 "
24,2012,국회공직자윤리위원회,강기갑,국회,국회의원,총계,"217,966 ","-7,861 ","47,085 ","163,020 "
25,2012,국회공직자윤리위원회,강기정,국회,국회의원,건물,"124,000 ","3,000 ",0 ,"127,000 "
26,2012,국회공직자윤리위원회,강기정,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"15,308 ",0 ,430 ,"14,878 "
27,2012,국회공직자윤리위원회,강기정,국회,국회의원,예금,"691,542 ","105,923 ","371,527 ","425,938 "
28,2012,국회공직자윤리위원회,강기정,국회,국회의원,유가증권,"1,000 ",0 ,0 ,"1,000 "
29,2012,국회공직자윤리위원회,강기정,국회,국회의원,채권,"48,000 ",0 ,0 ,"48,000 "
30,2012,국회공직자윤리위원회,강기정,국회,국회의원,채무,"-104,872 ",0 ,"-53,203 ","-51,669 "
31,2012,국회공직자윤리위원회,강기정,국회,국회의원,총계,"774,978 ","108,923 ","318,754 ","565,147 "
32,2012,국회공직자윤리위원회,강길부,국회,국회의원,토지,"1,108,005 ","14,591 ",0 ,"1,122,596 "
33,2012,국회공직자윤리위원회,강길부,국회,국회의원,건물,"1,920,530 ","208,359 ","115,000 ","2,013,889 "
34,2012,국회공직자윤리위원회,강길부,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"16,180 ",0 ,890 ,"15,290 "
35,2012,국회공직자윤리위원회,강길부,국회,국회의원,예금,"214,247 ","103,133 ","112,791 ","204,589 "
36,2012,국회공직자윤리위원회,강길부,국회,국회의원,유가증권,"327,090 ","11,880 ",0 ,"338,970 "
37,2012,국회공직자윤리위원회,강길부,국회,국회의원,채권,"270,000 ","210,000 ","140,000 ","340,000 "
38,2012,국회공직자윤리위원회,강길부,국회,국회의원,채무,"-703,600 ","-441,000 ","-223,946 ","-920,654 "
39,2012,국회공직자윤리위원회,강길부,국회,국회의원,회원권,"1,500 ",0 ,0 ,"1,500 "
40,2012,국회공직자윤리위원회,강길부,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
41,2012,국회공직자윤리위원회,강길부,국회,국회의원,총계,"3,153,952 ","106,963 ","144,735 ","3,116,180 "
42,2012,국회공직자윤리위원회,강명순,국회,국회의원,건물,"240,000 ",0 ,"8,000 ","232,000 "
43,2012,국회공직자윤리위원회,강명순,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"33,500 ",0 ,"7,500 ","26,000 "
44,2012,국회공직자윤리위원회,강명순,국회,국회의원,예금,"51,374 ","2,863 ","22,495 ","31,742 "
45,2012,국회공직자윤리위원회,강명순,국회,국회의원,채권,0 ,"20,000 ",0 ,"20,000 "
46,2012,국회공직자윤리위원회,강명순,국회,국회의원,채무,"-86,718 ","-20,000 ",-718 ,"-106,000 "
47,2012,국회공직자윤리위원회,강명순,국회,국회의원,총계,"238,156 ","2,863 ","37,277 ","203,742 "
48,2012,국회공직자윤리위원회,강봉균,국회,국회의원,토지,"217,113 ","10,002 ",989 ,"226,126 "
49,2012,국회공직자윤리위원회,강봉균,국회,국회의원,건물,"1,836,100 ","1,275,461 ","590,000 ","2,521,561 "
50,2012,국회공직자윤리위원회,강봉균,국회,국회의원,예금,"388,119 ","142,527 ","163,177 ","367,469 "
51,2012,국회공직자윤리위원회,강봉균,국회,국회의원,채권,"230,000 ",0 ,"50,000 ","180,000 "
