순번,연도,관할기관,성명,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액
1,2013,국회공직자윤리위원회,강창희,국회,국회의장,토지,0 ,"110,096 ",0 ,"110,096 "
2,2013,국회공직자윤리위원회,강창희,국회,국회의장,건물,"1,264,259 ",0 ,0 ,"1,264,259 "
3,2013,국회공직자윤리위원회,강창희,국회,국회의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"38,010 ",0 ,"2,490 ","35,520 "
4,2013,국회공직자윤리위원회,강창희,국회,국회의장,예금,"1,095,508 ","503,642 ","242,215 ","1,356,935 "
5,2013,국회공직자윤리위원회,강창희,국회,국회의장,유가증권,"15,917 ",454 ,331 ,"16,040 "
6,2013,국회공직자윤리위원회,강창희,국회,국회의장,채무,"-299,500 ",0 ,"-37,500 ","-262,000 "
7,2013,국회공직자윤리위원회,강창희,국회,국회의장,회원권,"80,550 ",0 ,0 ,"80,550 "
8,2013,국회공직자윤리위원회,강창희,국회,국회의장,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
9,2013,국회공직자윤리위원회,강창희,국회,국회의장,총계,"2,194,744 ","614,192 ","207,536 ","2,601,400 "
10,2013,국회공직자윤리위원회,이병석,국회,국회부의장,건물,"348,000 ",0 ,"3,000 ","345,000 "
11,2013,국회공직자윤리위원회,이병석,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"5,150 ",0 ,"1,150 ","4,000 "
12,2013,국회공직자윤리위원회,이병석,국회,국회부의장,예금,"143,037 ","93,562 ","34,712 ","201,887 "
13,2013,국회공직자윤리위원회,이병석,국회,국회부의장,유가증권,"1,520 ",0 ,124 ,"1,396 "
14,2013,국회공직자윤리위원회,이병석,국회,국회부의장,채무,"-80,000 ",0 ,0 ,"-80,000 "
15,2013,국회공직자윤리위원회,이병석,국회,국회부의장,총계,"417,707 ","93,562 ","38,986 ","472,283 "
16,2013,국회공직자윤리위원회,박병석,국회,국회부의장,토지,"353,921 ","14,530 ",0 ,"368,451 "
17,2013,국회공직자윤리위원회,박병석,국회,국회부의장,건물,"2,780,200 ","56,088 ",0 ,"2,836,288 "
18,2013,국회공직자윤리위원회,박병석,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"40,500 ",0 ,"5,940 ","34,560 "
19,2013,국회공직자윤리위원회,박병석,국회,국회부의장,예금,"219,586 ","102,873 ","30,320 ","292,139 "
20,2013,국회공직자윤리위원회,박병석,국회,국회부의장,채권,0 ,"50,000 ",0 ,"50,000 "
21,2013,국회공직자윤리위원회,박병석,국회,국회부의장,채무,"-138,037 ","-60,000 ","-70,037 ","-128,000 "
22,2013,국회공직자윤리위원회,박병석,국회,국회부의장,회원권,"18,000 ",0 ,0 ,"18,000 "
23,2013,국회공직자윤리위원회,박병석,국회,국회부의장,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
24,2013,국회공직자윤리위원회,박병석,국회,국회부의장,총계,"3,274,170 ","163,491 ","-33,777 ","3,471,438 "
25,2013,국회공직자윤리위원회,강기윤,국회,국회의원,토지,"1,385,953 ",0 ,0 ,"1,385,953 "
26,2013,국회공직자윤리위원회,강기윤,국회,국회의원,건물,"3,094,515 ",0 ,0 ,"3,094,515 "
27,2013,국회공직자윤리위원회,강기윤,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"274,193 ","13,012 ",0 ,"287,205 "
28,2013,국회공직자윤리위원회,강기윤,국회,국회의원,예금,"353,296 ","389,397 ","248,481 ","494,212 "
29,2013,국회공직자윤리위원회,강기윤,국회,국회의원,유가증권,"1,002,980 ",0 ,0 ,"1,002,980 "
30,2013,국회공직자윤리위원회,강기윤,국회,국회의원,채무,"-972,488 ","-705,757 ","-700,000 ","-978,245 "
31,2013,국회공직자윤리위원회,강기윤,국회,국회의원,총계,"5,138,449 ","-303,348 ","-451,519 ","5,286,620 "
32,2013,국회공직자윤리위원회,강기정,국회,국회의원,건물,"127,000 ","18,000 ",0 ,"145,000 "
33,2013,국회공직자윤리위원회,강기정,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"14,878 ","5,000 ","10,568 ","9,310 "
34,2013,국회공직자윤리위원회,강기정,국회,국회의원,예금,"425,938 ","189,190 ","150,994 ","464,134 "
35,2013,국회공직자윤리위원회,강기정,국회,국회의원,유가증권,"1,000 ",0 ,0 ,"1,000 "
