순번,연도,관할기관,이름,소속,직위,구분,종전가액,증가액,감소액,현재가액
1,2014,국회공직자윤리위원회,강창희,국회,국회의장,토지,"110,096 ","4,574 ",0 ,"114,670 "
2,2014,국회공직자윤리위원회,강창희,국회,국회의장,건물,"1,264,259 ","1,000 ","196,435 ","1,068,824 "
3,2014,국회공직자윤리위원회,강창희,국회,국회의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"35,520 ",0 ,"4,390 ","31,130 "
4,2014,국회공직자윤리위원회,강창희,국회,국회의장,예금,"1,356,935 ","458,909 ","316,559 ","1,499,285 "
5,2014,국회공직자윤리위원회,강창희,국회,국회의장,유가증권,"16,040 ","2,161 ",0 ,"18,201 "
6,2014,국회공직자윤리위원회,강창희,국회,국회의장,채무,"-262,000 ","-13,395 ","-42,000 ","-233,395 "
7,2014,국회공직자윤리위원회,강창희,국회,국회의장,회원권,"80,550 ",0 ,0 ,"80,550 "
8,2014,국회공직자윤리위원회,강창희,국회,국회의장,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
9,2014,국회공직자윤리위원회,강창희,국회,국회의장,총계,"2,601,400 ","453,249 ","475,384 ","2,579,265 "
10,2014,국회공직자윤리위원회,이병석,국회,국회부의장,건물,"345,000 ","400,000 ","220,000 ","525,000 "
11,2014,국회공직자윤리위원회,이병석,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"4,000 ",0 ,889 ,"3,111 "
12,2014,국회공직자윤리위원회,이병석,국회,국회부의장,예금,"167,878 ","130,938 ","53,200 ","245,616 "
13,2014,국회공직자윤리위원회,이병석,국회,국회부의장,유가증권,"1,396 ","5,387 ",0 ,"6,783 "
14,2014,국회공직자윤리위원회,이병석,국회,국회부의장,채무,"-80,000 ","-216,578 ",0 ,"-296,578 "
15,2014,국회공직자윤리위원회,이병석,국회,국회부의장,고지거부 및 등록제외사항,"34,009 ",0 ,"34,009 ",0 
16,2014,국회공직자윤리위원회,이병석,국회,국회부의장,총계,"472,283 ","319,747 ","308,098 ","483,932 "
17,2014,국회공직자윤리위원회,박병석,국회,국회부의장,토지,"368,451 ","6,534 ",0 ,"374,985 "
18,2014,국회공직자윤리위원회,박병석,국회,국회부의장,건물,"2,836,288 ","11,280 ","240,000 ","2,607,568 "
19,2014,국회공직자윤리위원회,박병석,국회,국회부의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"34,560 ",0 ,"21,280 ","13,280 "
20,2014,국회공직자윤리위원회,박병석,국회,국회부의장,예금,"292,139 ","89,295 ","6,409 ","375,025 "
21,2014,국회공직자윤리위원회,박병석,국회,국회부의장,채권,"50,000 ",0 ,"50,000 ",0 
22,2014,국회공직자윤리위원회,박병석,국회,국회부의장,채무,"-128,000 ","-100,000 ","-50,000 ","-178,000 "
23,2014,국회공직자윤리위원회,박병석,국회,국회부의장,회원권,"18,000 ",0 ,0 ,"18,000 "
24,2014,국회공직자윤리위원회,박병석,국회,국회부의장,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
25,2014,국회공직자윤리위원회,박병석,국회,국회부의장,총계,"3,471,438 ","7,109 ","267,689 ","3,210,858 "
26,2014,국회공직자윤리위원회,강기윤,국회,국회의원,토지,"1,385,953 ","94,128 ",0 ,"1,480,081 "
27,2014,국회공직자윤리위원회,강기윤,국회,국회의원,건물,"3,094,515 ","419,882 ","350,000 ","3,164,397 "
28,2014,국회공직자윤리위원회,강기윤,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"287,205 ",0 ,984 ,"286,221 "
29,2014,국회공직자윤리위원회,강기윤,국회,국회의원,예금,"492,818 ","382,065 ","297,055 ","577,828 "
30,2014,국회공직자윤리위원회,강기윤,국회,국회의원,유가증권,"1,002,980 ",0 ,0 ,"1,002,980 "
31,2014,국회공직자윤리위원회,강기윤,국회,국회의원,채무,"-978,245 ","-309,536 ","-681,964 ","-605,817 "
32,2014,국회공직자윤리위원회,강기윤,국회,국회의원,고지거부 및 등록제외사항,"1,394 ",0 ,"1,394 ",0 
33,2014,국회공직자윤리위원회,강기윤,국회,국회의원,총계,"5,286,620 ","586,539 ","-32,531 ","5,905,690 "
34,2014,국회공직자윤리위원회,강기정,국회,국회의원,건물,"145,000 ","2,000 ",0 ,"147,000 "
35,2014,국회공직자윤리위원회,강기정,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"9,310 ",0 ,520 ,"8,790 "
36,2014,국회공직자윤리위원회,강기정,국회,국회의원,예금,"464,134 ","154,195 ","166,345 ","451,984 "
37,2014,국회공직자윤리위원회,강기정,국회,국회의원,유가증권,"1,000 ",0 ,0 ,"1,000 "
38,2014,국회공직자윤리위원회,강기정,국회,국회의원,채권,"48,000 ",0 ,"48,000 ",0 
39,2014,국회공직자윤리위원회,강기정,국회,국회의원,채무,"-48,000 ",0 ,"-48,000 ",0 
40,2014,국회공직자윤리위원회,강기정,국회,국회의원,총계,"619,444 ","156,195 ","166,865 ","608,774 "
41,2014,국회공직자윤리위원회,강길부,국회,국회의원,토지,"1,188,031 ","62,590 ",0 ,"1,250,621 "
42,2014,국회공직자윤리위원회,강길부,국회,국회의원,건물,"2,051,628 ","275,397 ",0 ,"2,327,025 "
43,2014,국회공직자윤리위원회,강길부,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"14,210 ",0 ,"2,180 ","12,030 "
44,2014,국회공직자윤리위원회,강길부,국회,국회의원,예금,"617,684 ","693,043 ","545,100 ","765,627 "
45,2014,국회공직자윤리위원회,강길부,국회,국회의원,유가증권,0 ,0 ,0 ,0 
46,2014,국회공직자윤리위원회,강길부,국회,국회의원,채권,"130,000 ",0 ,"130,000 ",0 
47,2014,국회공직자윤리위원회,강길부,국회,국회의원,채무,"-742,597 ","-640,000 ","-236,970 ","-1,145,627 "
48,2014,국회공직자윤리위원회,강길부,국회,국회의원,회원권,"1,500 ",0 ,0 ,"1,500 "
49,2014,국회공직자윤리위원회,강길부,국회,국회의원,고지거부 및 등록제외사항,0 ,0 ,0 ,0 
50,2014,국회공직자윤리위원회,강길부,국회,국회의원,총계,"3,260,456 ","391,030 ","440,310 ","3,211,176 "
51,2014,국회공직자윤리위원회,강동원,국회,국회의원,토지,"3,324 ",12 ,0 ,"3,336 "
52,2014,국회공직자윤리위원회,강동원,국회,국회의원,건물,"474,000 ","20,000 ",0 ,"494,000 "
53,2014,국회공직자윤리위원회,강동원,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,0 ,"27,770 ",0 ,"27,770 "
54,2014,국회공직자윤리위원회,강동원,국회,국회의원,예금,"85,690 ","62,184 ","3,001 ","144,873 "
55,2014,국회공직자윤리위원회,강동원,국회,국회의원,유가증권,"10,627 ","11,296 ","10,110 ","11,813 "
56,2014,국회공직자윤리위원회,강동원,국회,국회의원,채무,"-723,790 ","-30,000 ","-1,963 ","-751,827 "
57,2014,국회공직자윤리위원회,강동원,국회,국회의원,골동품 및 예술품,"40,000 ",0 ,"40,000 ",0 
58,2014,국회공직자윤리위원회,강동원,국회,국회의원,총계,"-110,149 ","91,262 ","51,148 ","-70,035 "
59,2014,국회공직자윤리위원회,강석호,국회,국회의원,토지,"2,058,543 ","87,715 ","38,279 ","2,107,979 "
60,2014,국회공직자윤리위원회,강석호,국회,국회의원,건물,"3,652,604 ","53,599 ","491,000 ","3,215,203 "
61,2014,국회공직자윤리위원회,강석호,국회,국회의원,예금,"7,078,398 ","8,840,059 ","6,235,276 ","9,683,181 "
62,2014,국회공직자윤리위원회,강석호,국회,국회의원,유가증권,"1,284,428 ","101,610 ","3,927 ","1,382,111 "
