순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
1,2016,국회공직자윤리위원회,정의화,국회,국회의장,토지,"5,976,253","873,512","318,566","6,531,199",,
2,2016,국회공직자윤리위원회,정의화,국회,국회의장,건물,"15,752,793","549,484","227,061","16,075,216",,
3,2016,국회공직자윤리위원회,정의화,국회,국회의장,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"42,770",0,"9,150","33,620",,
4,2016,국회공직자윤리위원회,정의화,국회,국회의장,예금,"6,257,454","2,357,188","1,839,801","6,774,841",,
5,2016,국회공직자윤리위원회,정의화,국회,국회의장,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"38,999",0,"38,999",,
6,2016,국회공직자윤리위원회,정의화,국회,국회의장,채무,"-17,919,011","-1,032,254","-730,472","-18,220,793",,
7,2016,국회공직자윤리위원회,정의화,국회,국회의장,금 및 백금,"16,080",20,0,"16,100",,
8,2016,국회공직자윤리위원회,정의화,국회,국회의장,보석류,"19,000",0,0,"19,000",,
9,2016,국회공직자윤리위원회,정의화,국회,국회의장,회원권,"360,000","25,000",0,"385,000",,
10,2016,국회공직자윤리위원회,정의화,국회,국회의장,비영리법인에의한 출연재산,,,,,,
11,2016,국회공직자윤리위원회,정의화,국회,국회의장,고지거부 및 등록제외사항,0,0,0,0,,
12,2016,국회공직자윤리위원회,정의화,국회,국회의장,총계,"10,505,339","2,811,949","1,664,106","11,653,182",,
13,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,토지,"6,873",775,0,"7,648",,
14,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,건물,"981,000","25,000",0,"1,006,000",,
15,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"7,000",0,"2,000","5,000",,
16,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,현금,"20,000","10,000",0,"30,000",,
17,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,예금,"434,875","66,890","129,774","371,991",,
18,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,유가증권,"9,877",312,"1,017","9,172",,
19,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,채무,"-768,062","-353,730","-487,158","-634,634",,
20,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,회원권,"27,500",0,0,"27,500",,
21,2016,국회공직자윤리위원회,정갑윤,국회,국회의원,총계,"719,063","-250,753","-354,367","822,677",,
22,2016,국회공직자윤리위원회,이석현,국회,국회의원,건물,"1,705,307",0,"287,755","1,417,552",,
23,2016,국회공직자윤리위원회,이석현,국회,국회의원,예금,"143,496","185,536","50,349","278,683",,
24,2016,국회공직자윤리위원회,이석현,국회,국회의원,유가증권,"12,000",0,0,"12,000",,
25,2016,국회공직자윤리위원회,이석현,국회,국회의원,채권,"30,000",0,0,"30,000",,
26,2016,국회공직자윤리위원회,이석현,국회,국회의원,채무,"-898,089","-105,000","-182,507","-820,582",,
27,2016,국회공직자윤리위원회,이석현,국회,국회의원,총계,"992,714","80,536","155,597","917,653",,
28,2016,국회공직자윤리위원회,강기윤,국회,국회의원,토지,"1,603,455","79,483",0,"1,682,938",,
29,2016,국회공직자윤리위원회,강기윤,국회,국회의원,건물,"3,261,991","268,319",111,"3,530,199",,
30,2016,국회공직자윤리위원회,강기윤,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"283,411",0,"3,070","280,341",,
